Interference and Diffraction Data File Wed, Oct 11, 2023 1:37 PM
Sensor Position (Meters)	Light Intensity (Volts)
0.00000	-0.00743
0.00000	-0.01017
0.00000	-0.00598
0.00000	-0.00598
0.00000	-0.01001
0.00000	-0.00631
0.00000	-0.00566
0.00000	-0.00904
0.00000	-0.00518
0.00000	-0.00792
0.00000	-0.01001
0.00000	-0.01162
0.00000	-0.00663
0.00000	-0.00759
0.00000	-0.00969
0.00000	-0.00872
0.00000	-0.00663
0.00000	-0.00888
0.00000	-0.00598
0.00000	-0.00631
0.00000	-0.00582
0.00000	-0.00872
0.00000	-0.00695
0.00000	-0.00792
0.00000	-0.00711
0.00000	-0.00808
0.00000	-0.00647
0.00000	-0.00759
0.00000	-0.00904
0.00000	-0.00904
0.00000	-0.00856
0.00000	-0.00035
0.00000	-0.01033
0.00000	-0.00856
0.00000	-0.00792
0.00000	-0.00759
0.00000	-0.00663
0.00000	-0.00486
0.00000	-0.00937
0.00000	-0.00405
0.00000	-0.00437
-0.00006	-0.00502
-0.00006	-0.00937
-0.00006	-0.00518
-0.00006	-0.00727
-0.00006	-0.00775
-0.00011	-0.00534
-0.00011	-0.00518
-0.00011	-0.00614
-0.00017	-0.00824
-0.00017	-0.00808
-0.00022	-0.00679
-0.00022	-0.00663
-0.00022	-0.00824
-0.00028	-0.00631
-0.00028	-0.00920
-0.00028	-0.00679
-0.00033	-0.00695
-0.00033	-0.00759
-0.00033	-0.00904
-0.00039	-0.00631
-0.00039	-0.00534
-0.00044	-0.00824
-0.00044	-0.01017
-0.00044	-0.00775
-0.00050	-0.00727
-0.00050	-0.00808
-0.00050	-0.01001
-0.00056	-0.00518
-0.00056	-0.00518
-0.00061	-0.00856
-0.00061	-0.00711
-0.00061	-0.01033
-0.00067	-0.00792
-0.00067	-0.00453
-0.00067	-0.00711
-0.00072	-0.01081
-0.00072	-0.01162
-0.00078	-0.00759
-0.00078	-0.00808
-0.00078	-0.00872
-0.00083	-0.00598
-0.00083	-0.00695
-0.00083	-0.00679
-0.00089	-0.00711
-0.00089	-0.00872
-0.00089	-0.01001
-0.00094	-0.00792
-0.00094	-0.00647
-0.00100	-0.01001
-0.00100	-0.00969
-0.00100	-0.00775
-0.00106	-0.00614
-0.00106	-0.00808
-0.00111	-0.00711
-0.00111	-0.00405
-0.00111	-0.00856
-0.00117	-0.00775
-0.00117	-0.01178
-0.00122	-0.01194
-0.00122	-0.00566
-0.00122	-0.00808
-0.00128	-0.00582
-0.00128	-0.00711
-0.00133	-0.00856
-0.00133	-0.00920
-0.00133	-0.00566
-0.00139	-0.00872
-0.00139	-0.00775
-0.00139	-0.00904
-0.00144	-0.00969
-0.00144	-0.00792
-0.00150	-0.00550
-0.00150	-0.00792
-0.00150	-0.00502
-0.00156	-0.00792
-0.00156	-0.00534
-0.00156	-0.00502
-0.00161	-0.00631
-0.00161	-0.00824
-0.00167	-0.00679
-0.00167	-0.00695
-0.00167	-0.00437
-0.00172	-0.00953
-0.00172	-0.00582
-0.00172	-0.00486
-0.00178	-0.00373
-0.00178	-0.00663
